[Name],[Layer],[Head],[Timestamp],Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20,Top 21,Top 22,Top 23,Top 24,Top 25,Top 26,Top 27,Top 28,Top 29,Top 30,Top 31,Top 32,Top 33,Top 34
up_cross,0,3,4,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Image Style,Sports Equipment,Buildings,Geo-locations,Clothing,Tools,Books and Documents,Musical Instruments,Shape,Nature Scenes,Fruits and Vegetables,Vehicles,Furniture,People,Facial Features,Written Characters,Geometric Patterns,Material,Poses and Gestures,Weather Conditions,Texture,Time of Day,Lighting Conditions,Plants,Animals,Color,Facial Expressions,Counting,Size
up_cross,0,3,5,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Image Style,Clothing,Tools,Geo-locations,Sports Equipment,Buildings,Musical Instruments,Shape,Books and Documents,Nature Scenes,Vehicles,People,Facial Features,Furniture,Written Characters,Fruits and Vegetables,Material,Geometric Patterns,Poses and Gestures,Weather Conditions,Plants,Texture,Time of Day,Lighting Conditions,Color,Facial Expressions,Counting,Size,Animals
up_cross,0,3,6,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Clothing,Image Style,Sports Equipment,Geo-locations,Buildings,Books and Documents,Musical Instruments,Vehicles,Tools,Shape,Nature Scenes,People,Furniture,Fruits and Vegetables,Geometric Patterns,Written Characters,Facial Features,Material,Plants,Poses and Gestures,Weather Conditions,Animals,Time of Day,Lighting Conditions,Texture,Facial Expressions,Counting,Size,Color
up_cross,0,3,7,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Clothing,Buildings,Musical Instruments,Image Style,Tools,Geo-locations,Books and Documents,Sports Equipment,Vehicles,Shape,Nature Scenes,Fruits and Vegetables,Furniture,Written Characters,People,Geometric Patterns,Facial Features,Material,Weather Conditions,Texture,Poses and Gestures,Lighting Conditions,Time of Day,Plants,Color,Animals,Facial Expressions,Counting,Size
up_cross,0,3,8,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Sports Equipment,Buildings,Geo-locations,Clothing,Image Style,Tools,Musical Instruments,Shape,Books and Documents,Vehicles,Nature Scenes,People,Furniture,Fruits and Vegetables,Facial Features,Written Characters,Geometric Patterns,Material,Weather Conditions,Poses and Gestures,Lighting Conditions,Plants,Time of Day,Animals,Texture,Facial Expressions,Size,Color,Counting
up_cross,0,3,9,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Musical Instruments,Sports Equipment,Clothing,Buildings,Books and Documents,Geo-locations,Tools,Image Style,Shape,Vehicles,Nature Scenes,Geometric Patterns,Furniture,Fruits and Vegetables,People,Facial Features,Weather Conditions,Material,Written Characters,Time of Day,Color,Poses and Gestures,Plants,Lighting Conditions,Texture,Animals,Size,Facial Expressions,Counting
up_cross,0,3,10,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Clothing,Books and Documents,Tools,Image Style,Sports Equipment,Buildings,Vehicles,Geo-locations,Musical Instruments,Shape,Nature Scenes,Geometric Patterns,Fruits and Vegetables,People,Facial Features,Furniture,Written Characters,Material,Plants,Poses and Gestures,Lighting Conditions,Facial Expressions,Weather Conditions,Time of Day,Animals,Texture,Size,Counting,Color
up_cross,0,3,11,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Geo-locations,Clothing,Sports Equipment,Buildings,Image Style,Books and Documents,Musical Instruments,Tools,Vehicles,Shape,Nature Scenes,Furniture,Geometric Patterns,Fruits and Vegetables,Facial Features,Weather Conditions,People,Material,Written Characters,Poses and Gestures,Animals,Plants,Lighting Conditions,Time of Day,Size,Color,Facial Expressions,Counting,Texture
up_cross,0,3,12,Brand Logos,Electronics,Accessories,Toys,Food and Beverages,Books and Documents,Geo-locations,Musical Instruments,Clothing,Tools,Vehicles,Image Style,Buildings,Shape,Sports Equipment,Nature Scenes,Fruits and Vegetables,Geometric Patterns,Furniture,People,Facial Features,Material,Weather Conditions,Time of Day,Written Characters,Plants,Lighting Conditions,Poses and Gestures,Color,Size,Texture,Animals,Facial Expressions,Counting
up_cross,0,3,13,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Clothing,Books and Documents,Tools,Geo-locations,Sports Equipment,Musical Instruments,Shape,Vehicles,Buildings,Image Style,Fruits and Vegetables,Facial Features,Nature Scenes,People,Furniture,Geometric Patterns,Material,Weather Conditions,Written Characters,Lighting Conditions,Time of Day,Plants,Poses and Gestures,Animals,Facial Expressions,Size,Color,Counting,Texture
